No.,Feature,Source,Overlap with xrpl-up,Phase,Reason,Notes
1,Local sandbox lifecycle,xrpl-up,Yes,Phase 1,Foundational local and CI workflow for sandbox control and troubleshooting.,node / stop / reset / logs / status / accounts
2,Local amendment controls,xrpl-up,Yes,Phase 1,Needed to test amendment-dependent behavior in a reproducible local environment.,amendment list / info / enable / disable / sync
3,Custom Docker image and tag,xrpl-up,Yes,Phase 1,Lets teams pin or swap xrpld builds for local development and CI validation.,--image xrpllabsofficial/xrpld:<tag> for local sandbox runs
4,Faucet funding,xrpl-up,Yes,Phase 1,Quick account funding is a core onboarding and testing requirement.,fund accounts on local / testnet / devnet
5,Snapshots,xrpl-up,Yes,Phase 1,Supports repeatable state setup and fast rollback during tests and demos.,snapshot save / restore / list
6,Script runner,xrpl-up,Yes,Phase 1,Lets custom automation share the same XRPL environment without manual client wiring.,run with injected XRPL_* environment
7,Project bootstrap,xrpl-up,Yes,Phase 1,Reduces setup friction by giving users a working starter project immediately.,init [directory] scaffolds a starter project
8,Useful examples,xrpl-up,Yes,Phase 1,Examples accelerate onboarding and help users adapt working flows into their own code.,README examples and starter flows
9,AMM wrapper,xrpl-up,Yes,Phase 1,AMM workflows are a high-value XRPL developer use case for demos and testing.,amm create / info
10,NFT wrapper,xrpl-up,Yes,Phase 1,NFT flows are common onboarding and integration scenarios.,nft mint / list / offers / sell / accept / burn
11,MPT wrapper,xrpl-up,Yes,Phase 1,Covers newer token workflows that developers need to exercise locally.,mpt create / destroy / authorize / set / info / pay / list
12,DEX offers wrapper,xrpl-up,Yes,Phase 1,Basic trading and offer-book interactions are useful developer primitives.,offer create / cancel / list
13,Trustline wrapper,xrpl-up,Yes,Phase 1,Trust lines are essential for issued-currency and issuer setup workflows.,trustline set / freeze / list / issuer-defaults
14,Escrow wrapper,xrpl-up,Yes,Phase 1,Escrow is a practical advanced transaction type for testing and education.,escrow create / finish / cancel / list
15,Checks wrapper,xrpl-up,Yes,Phase 1,Rounds out common payment-related transaction helpers.,check create / cash / cancel / list
16,Payment channels wrapper,xrpl-up,Yes,Phase 1,Provides access to streaming-payment style workflows in the same tool.,channel create / fund / claim / sign / verify / list
17,AccountSet wrapper,xrpl-up,Yes,Phase 1,"Needed for account flags, signer lists, and account configuration flows.",accountset set / clear / signer-list / info
18,Tickets wrapper,xrpl-up,Yes,Phase 1,Supports newer transaction sequencing patterns developers may need to test.,ticket create / list
19,DepositPreauth wrapper,xrpl-up,Yes,Phase 1,Useful for authorization-based account interaction scenarios.,depositpreauth authorize / unauthorize / list
20,Clawback wrapper,xrpl-up,Yes,Phase 1,Covers modern asset-control flows for IOU and MPT testing.,clawback IOU and MPT support
21,Transaction history wrapper,xrpl-up,Yes,Phase 1,Gives users a built-in way to inspect account transaction history.,tx list
22,Multiple network targets,xrpl-up,Yes,Phase 1,Makes the same workflows usable across local and shared XRPL test environments.,local / testnet / devnet
23,CLI: run server,workload,No,TBD,Likely better as a separate project because load generation and workload control have a different runtime model and scope than the sandbox tool's developer CLI.,Starts the workload API server for traffic generation.
24,CLI: run local multi-node network,workload,Partial,Phase 2,"Useful after the Phase 1 local sandbox baseline, when the focus expands to local multi-node network workflows.",Generates and runs config for a local multi-node network from config.toml.
25,Transaction types (31) traffic generator,workload,Partial,TBD,Likely better as a separate project because transaction load generation has a different runtime model and scope than the sandbox tool's developer CLI.,Sends weighted XRPL transaction mixes for real-usage simulation and load tests.
26,Lifecycle states + retry logic,workload,No,TBD,Likely better as a separate project because transaction lifecycle tracking and live workload management make the sandbox heavier and less developer-focused.,Tracks CREATED -> SUBMITTED -> VALIDATED/REJECTED/EXPIRED/FAILED_NET and retries retryable submissions.
27,"Dashboard (live charts, diagnostics)",workload,No,Phase 2,"Useful after the lightweight sandbox baseline, when the focus expands to richer visibility and diagnostics for more advanced workflows.","Live metrics UI with counts by state/type, success rates, diagnostics, and drill-down tables."
28,WebSocket streams + RPC fallback,workload,Partial,TBD,Likely better as a separate project because workload validation infrastructure adds runtime complexity beyond a lightweight developer sandbox.,"Subscribes to ledger/accounts_proposed/transactions, uses event queue + reconnect, and falls back to RPC polling."
